ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,POV,Citation
646,WOF,man ci sama bopp-may ubbi samay leetar,man	ci	sama	bopp-may	ubbi	samay	leetar,I	with	my	head-POSS.1SG	open	my	letter,I always open my letters myself.,,,,adv exclusive,"Carola Emkow, p.c.; source informant: Moctar Kamara"
647,CHN,Zhāngsān(i) rènwéi Mĕijūn(j) zhīdao Mălì(k) xĭhuan zìjĭ(k/j/i),Zhāngsān(i)	rènwéi	Mĕijūn(j)	zhīdao	Mălì(k)	xĭhuan	zìjĭ(k/j/i),Zhangsan	think	Meijun	know	Mary	like	REFL,Zhangsan thinks that Meijun knows that Mary likes herself/her/him.,,,This sentence is judged infelicitous by Li Xiaoting,reflexive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
549,JPN,Taro-jishin kyouju-wo sonkeishiteiru,Taro-jishin	kyouju-wo	sonkeishiteiru,Taro-INT	professor-ACC	honour,Taro himself will honour the professor.,,,,adnominal,Akio Ogawa (p.c.)
550,JPN,kekkonshiki-jitai-wa bujini shuuryoshita,kekkonshiki-jitai-wa	bujini	shuuryoshita,Wedding-INT-TOP	without.problems	happen,The wedding itself happened without any problems.,,,,adnominal,Akio Ogawa (p.c.)
551,CHN,nèi-wèi míngxīng bìng méi yŏu qīnbĭ/zìjĭ xiĕ tāde zìzhuàn,nèi-wèi	míngxīng	bìng	méi	yŏu	qīnbĭ/zìjĭ	xiĕ	tāde	zìzhuàn,DEM-CL	star	PRT	not	have	with.own.brush/INT	write	his/her	autobiography,The movie star did not write his autobiography himself.,,,,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
552,CHN,zhè shì tā qīnkŏu shuō-de,zhè	shì	tā	qīnkŏu	shuō-de,DEM	is	(s)he	with.own.mouth	say-ATTR,That's what (s)he said herself/himself.,,,ATTR: functions as a nominalizer here,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
553,CHN,wŏ qīnyăn kàndào-le nà-ge chēhuò,wŏ	qīnyăn	kàndào-le	nà-ge	chēhuò,I	with.own.eye	see-ASP	DEM-CL	accident,I saw that accident with my own eyes.,,,,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
554,CHN,wŏ qīnĕr tīngjiàn tā shuō nĭ-de huài-huà,wŏ	qīnĕr	tīngjiàn	tā	shuō	nĭ-de	huài-huà,I	with.own.ear	hear	(s)he	say	you-ATTR	bad-speech,I heard him/her telling bad things about you with my own ears.,,,ATTR: attributive marker,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
555,CHN,nà shì wŏde qīnshēn jīnglì/gănshòu,nà	shì	wŏde	qīnshēn	jīnglì/gănshòu,DEM	is	I-ATTR	own	experience/feelings,That is my own experience/impression.,,,ATTR: attributive marker,own,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
556,CHN,tāmen shì nĭ-de qīnshēng háizi ma?,tāmen	shì	nĭ-de	qīnshēng	háizi	ma?,they	are	you-ATTR	[1st.grade.related]=INT/own	child	PRT,Are these your own children?,,,PRT: particle,own,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
