Nr,language,pov,original,gloss,translation,source,page,comments
646,Wolof,adv exclusive,man</td><td>ci</td><td>sama</td><td>bopp-may</td><td>ubbi</td><td>samay</td><td>leetar,I</td><td>with</td><td>my</td><td>head-POSS.1SG</td><td>open</td><td>my</td><td>letter,I always open my letters myself.,"Carola Emkow, p.c.; source informant: Moctar Kamara",-,--
647,Mandarin Chinese,reflexive,Zh&#257;ngs&#257;n(i)</td><td>rènwéi</td><td>M&#277;ij&#363;n(j)</td><td>zh&#299;dao</td><td>M&#259;lì(k)</td><td>x&#301;huan</td><td>zìj&#301;(k/j/i),Zhangsan</td><td>think</td><td>Meijun</td><td>know</td><td>Mary</td><td>like</td><td>REFL,Zhangsan thinks that Meijun knows that Mary likes herself/her/him.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",,This sentence is judged infelicitous by Li Xiaoting
549,Japanese,adnominal,Taro-jishin</td><td>kyouju-wo</td><td>sonkeishiteiru,Taro-INT</td><td>professor-ACC</td><td>honour,Taro himself will honour the professor.,Akio Ogawa (p.c.),-,--
550,Japanese,adnominal,kekkonshiki-jitai-wa</td><td>bujini</td><td>shuuryoshita,Wedding-INT-TOP</td><td>without.problems</td><td>happen,The wedding itself happened without any problems.,Akio Ogawa (p.c.),-,--
551,Mandarin Chinese,adv exclusive,nèi-wèi</td><td>míngx&#299;ng</td><td>bìng</td><td>méi</td><td>y&#335;u</td><td>q&#299;nb&#301;/zìj&#301;</td><td>xi&#277;</td><td>t&#257;de</td><td>zìzhuàn,DEM-CL</td><td>star</td><td>PRT</td><td>not</td><td>have</td><td>with.own.brush/INT</td><td>write</td><td>his/her</td><td>autobiography,The movie star did not write his autobiography himself.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
552,Mandarin Chinese,adv exclusive,zhè</td><td>shì</td><td>t&#257;</td><td>q&#299;nk&#335;u</td><td>shu&#333;-de,DEM</td><td>is</td><td>(s)he</td><td>with.own.mouth</td><td>say-ATTR,That's what (s)he said herself/himself.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,ATTR: functions as a nominalizer here
553,Mandarin Chinese,adv exclusive,w&#335;</td><td>q&#299;ny&#259;n</td><td>kàndào-le</td><td>nà-ge</td><td>ch&#275;huò,I</td><td>with.own.eye</td><td>see-ASP</td><td>DEM-CL</td><td>accident,I saw that accident with my own eyes.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
554,Mandarin Chinese,adv exclusive,w&#335;</td><td>q&#299;n&#277;r</td><td>t&#299;ngjiàn</td><td>t&#257;</td><td>shu&#333;</td><td>n&#301;-de</td><td>huài-huà,I</td><td>with.own.ear</td><td>hear</td><td>(s)he</td><td>say</td><td>you-ATTR</td><td>bad-speech,I heard him/her telling bad things about you with my own ears.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,ATTR: attributive marker
555,Mandarin Chinese,own,nà</td><td>shì</td><td>w&#335;de</td><td>q&#299;nsh&#275;n</td><td>j&#299;nglì/g&#259;nshòu,DEM</td><td>is</td><td>I-ATTR</td><td>own</td><td>experience/feelings,That is my own experience/impression.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,ATTR: attributive marker
556,Mandarin Chinese,own,t&#257;men</td><td>shì</td><td>n&#301;-de</td><td>q&#299;nsh&#275;ng</td><td>háizi</td><td>ma?,they</td><td>are</td><td>you-ATTR</td><td>[1st.grade.related]=INT/own</td><td>child</td><td>PRT,Are these your own children?,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,PRT: particle
557,English,adnominal,the</td><td>director</td><td>himself</td><td>will</td><td>talk</td><td>to</td><td>us,ART</td><td>director</td><td>INT</td><td>FUT</td><td>talk</td><td>to</td><td>us,The director himself will talk to us.,the authors,-,--
558,English,adv exclusive,I</td><td>have</td><td>swept</td><td>the</td><td>court</td><td>myself,I</td><td>have</td><td>swept</td><td>ART</td><td>court</td><td>INT,I have swept the court myself.,the authors,-,--
559,English,adv inclusive,I</td><td>don&#146;t</td><td>have</td><td>money</td><td>myself.,I</td><td>AUX-NEG</td><td>have</td><td>money</td><td>INT,I don't have money myself.,the authors,-,--
560,English,reflexive,Paul</td><td>saw</td><td>himself</td><td>in</td><td>the</td><td>mirror.,Paul</td><td>saw</td><td>REFL</td><td>in</td><td>ART</td><td>mirror,Paul saw himself in the mirror.,the authors,-,--
561,German,adnominal,der</td><td>Direktor</td><td>selbst</td><td>wird</td><td>mit</td><td>uns</td><td>sprechen.,ART</td><td>director</td><td>INT</td><td>will</td><td>with</td><td>us</td><td>speak,The director himself will talk to us.,the authors,-,-
562,German,adv exclusive,Olga</td><td>unterrichtet</td><td>ihre</td><td>Kinder</td><td>selbst,Olga</td><td>teaches</td><td>her</td><td>children</td><td>INT,Olga teaches her children herself.,the authors,-,-
563,German,adv inclusive,Leider</td><td>nicht.</td><td>Ich</td><td>habe</td><td>selbst</td><td>kein</td><td>Geld,Unfortunately</td><td>not.</td><td>I</td><td>have-1.SG.PRS</td><td>INT</td><td>no</td><td>money,I'm sorry. I don't have money myself,the authors,-,--
564,German,idem,Monica</td><td>wohnt</td><td>in</td><td>der-selben</td><td>Straße</td><td>wie</td><td>Bill,Monica</td><td>lives</td><td>in</td><td>ART-IDEM</td><td>street</td><td>as</td><td>Bill,Monica lives in the same street as Bill does.,the authors,-,IDEM: token identity
565,German,adnominal,der</td><td>Direktor</td><td>höchstpersönlich</td><td>kam</td><td>zu</td><td>dem</td><td>Treffen,ART</td><td>director</td><td>INT</td><td>came</td><td>to</td><td>the</td><td>meeting,The director personally came to the meeting.,the authors,-,--
